Hour,T
1932,6.2
1933,7.8
1934,7.3
1935,6.9
1936,6.8
1937,5.0
1938,6.4
1939,4.8
1940,5.8
1941,5.2
1942,4.4
1943,4.9
1944,4.0
1945,4.0
1946,4.3
1947,4.2
1948,5.0
1949,3.7
1950,3.5
1951,3.3
1952,3.9
1953,5.4
1954,6.2
1955,7.8
1956,7.2
1957,5.5
1958,6.7
1959,7.4
1960,7.5
1961,7.1
1962,6.4
1963,6.4
1964,4.5
1965,3.6
1966,2.4
1967,3.0
1968,2.9
1969,2.0
1970,2.4
1971,2.7
1972,2.3
1973,3.0
1974,2.9
1975,2.8
1976,3.1
1977,3.7
1978,5.2
1979,5.7
1980,6.0
1981,7.3
1982,7.5
1983,6.0
1984,7.4
1985,6.7
1986,6.5
1987,5.9
1988,5.9
1989,5.2
1990,5.0
1991,5.1
1992,5.2
1993,4.8
1994,4.6
1995,4.1
1996,4.4
1997,4.7
1998,4.6
1999,4.5
2000,4.8
2001,4.9
2002,4.9
2003,5.1
2004,5.6
2005,5.8
2006,6.1
2007,7.0
2008,6.8
2009,6.1
2010,5.8
2011,5.5
2012,4.9
2013,4.9
2014,4.8
2015,4.5
2016,4.2
2017,4.2
2018,4.2
2019,3.8
2020,3.7
2021,3.0
2022,2.7
2023,3.1
2024,3.0
2025,3.1
2026,3.5
2027,4.1
2028,4.2
2029,5.1
2030,5.3
2031,5.7
2032,5.4
2033,5.3
2034,5.3
2035,5.2
2036,5.0
2037,4.9
2038,5.1
2039,5.1
2040,4.9
2041,4.3
2042,4.2
2043,4.1
2044,3.3
2045,3.4
2046,4.0
2047,4.6
2048,4.4
2049,4.7
2050,5.4
2051,6.6
2052,7.6
2053,8.5
2054,8.4
2055,7.3
2056,5.9
2057,5.6
2058,6.1
2059,5.2
2060,4.5
2061,3.7
2062,2.9
2063,3.5
2064,2.3
2065,2.4
2066,1.0
2067,1.6
2068,1.8
2069,2.1
2070,3.0
2071,2.5
2072,3.0
2073,3.5
2074,3.7
2075,5.6
2076,4.9
2077,4.1
2078,6.0
2079,5.8
2080,5.8
2081,5.5
2082,4.3
2083,3.4
2084,2.7
2085,2.9
2086,2.3
2087,2.6
2088,2.1
2089,1.7
2090,2.5
2091,2.5
