Hour;T;N;NE;E;SE;S;SW;W;NW;Horizontal
375;1.8;49.0816983;49.0816983;49.0816983;404.5029588;777.3139858;723.5364153;274.6724188;49.0816983;228
376;1.4;34.36636533;34.36636533;34.36636533;204.6090766;639.7979525;720.3332158;399.0384014;34.36636533;144
377;-0.2;9.597169671;9.597169671;9.597169671;16.53556259;304.3024799;419.4350234;294.4901106;9.597169671;44
378;-1.3;0;0;0;0;0;0;0;0;0
379;-2.7;0;0;0;0;0;0;0;0;0
380;-4.2;0;0;0;0;0;0;0;0;0
381;-4.1;0;0;0;0;0;0;0;0;0
382;-4.9;0;0;0;0;0;0;0;0;0
383;-4.2;0;0;0;0;0;0;0;0;0
384;-5.3;0;0;0;0;0;0;0;0;0
385;-6.3;0;0;0;0;0;0;0;0;0
386;-6.7;0;0;0;0;0;0;0;0;0
387;-6.4;0;0;0;0;0;0;0;0;0
388;-6.8;0;0;0;0;0;0;0;0;0
389;-7.4;0;0;0;0;0;0;0;0;0
390;-7.7;0;0;0;0;0;0;0;0;0
391;-8.5;0;0;0;0;0;0;0;0;0
392;-8.7;0;0;0;0;0;0;0;0;0
393;-8.8;0;0;0;0;0;0;0;0;0
394;-6.8;19.79314019;35.66733928;124.6879207;152.2625624;102.2384131;19.79314019;19.79314019;19.79314019;53
395;-5;40.93037669;40.93037669;431.7562347;653.5716831;516.5101631;100.8604542;40.93037669;40.93037669;167
396;-2.8;53.20973279;53.20973279;378.5121098;753.1553781;717.7799803;293.1083447;53.20973279;53.20973279;244
397;-0.4;62.92256796;62.92256796;285.668416;965.9926712;1117.310708;650.9824721;62.92256796;62.92256796;364
398;0;62.42216945;62.42216945;62.42216945;788.5433575;1139.588229;859.6438322;112.6977973;62.42216945;358
399;0.8;49.85404743;49.85404743;49.85404743;404.0962121;774.7977003;720.8370287;273.8236267;49.85404743;231
400;0.5;38.13368974;38.13368974;38.13368974;158.2581683;465.0353075;521.7392689;295.1536408;38.13368974;128
401;-0.8;13.04398869;13.04398869;13.04398869;17.44063681;202.6980856;276.8587366;196.4802862;13.04398869;31
